date,kwdb/kwdb,kwdb/kwdb_comp_env,kwdb/release
2025-05-07,69,28,12
2025-05-08,69,28,18
2025-05-09,69,28,36
2025-05-10,78,28,37
2025-05-11,79,28,39
2025-05-12,80,28,40
2025-05-13,84,28,42
2025-05-14,98,28,43
2025-05-15,164,28,44
2025-05-16,197,28,45
2025-05-17,230,28,46
2025-05-18,267,28,47
2025-05-19,300,28,48
2025-05-19,326,28,49
2025-05-20,341,28,50
2025-05-21,380,28,51
2025-05-22,423,28,52
2025-05-23,465,28,53
2025-05-24,506,28,54
2025-05-25,547,28,55
2025-05-26,587,28,56
2025-05-27,629,28,57
2025-05-28,672,28,58
2025-05-29,801,28,86
2025-05-30,976,28,99
2025-05-31,1162,28,111
2025-06-01,1349,28,120
2025-06-02,1574,28,138
2025-06-03,1776,28,142
2025-06-04,1926,28,148
2025-06-05,2090,28,153
2025-06-06,2274,28,158
2025-06-07,2391,28,169
2025-06-08,2582,28,176
2025-06-09,2721,28,189
2025-06-10,2915,28,199
2025-06-11,3079,29,210
2025-06-12,3299,29,213
2025-06-13,3430,29,223
2025-06-14,3513,29,234
2025-06-15,3676,29,254
2025-06-16,3948,29,265
2025-06-17,4188,29,278
2025-06-18,4363,29,298
2025-06-19,4551,29,323
2025-06-20,4834,29,353
2025-06-21,5199,30,363
2025-06-22,5570,30,373
2025-06-23,5882,30,413
2025-06-24,6316,30,433
2025-06-25,6599,31,463
2025-06-25,6616,31,473
2025-06-26,6705,31,473
2025-06-27,6851,35,485
2025-06-28,7012,35,497
2025-06-29,7152,35,509
2025-06-30,7266,35,521
2025-07-01,7467,36,533
2025-07-02,7718,36,545
2025-07-03,7894,36,557
2025-07-04,8095,36,569
2025-07-05,8227,36,581
2025-07-06,8362,36,593
2025-07-07,8587,36,605
2025-07-08,8704,36,619
2025-07-09,8843,36,634
2025-07-10,9088,36,648
2025-07-11,9359,36,663
2025-07-12,9546,36,676
2025-07-13,9814,36,693
2025-07-14,9959,36,706
2025-07-15,10057,36,719
2025-07-16,10259,36,736
2025-07-17,10423,36,750
2025-07-18,10552,36,763
2025-07-19,10771,36,777
2025-07-20,10985,36,790
2025-07-21,11191,36,803
2025-07-22,11453,36,827
2025-07-23,11665,43,839
2025-07-24,11880,73,851
2025-07-25,12059,73,863
2025-07-26,12259,73,875
2025-07-27,12310,73,887
2025-07-28,12360,73,899
2025-07-28,12449,73,911
2025-07-29,12455,73,911
2025-07-30,12501,73,923
2025-07-31,12545,73,935
2025-08-01,12613,73,947
2025-08-02,12669,73,959
2025-08-03,12708,73,971
2025-08-04,12753,73,983
2025-08-05,12802,73,995
2025-08-06,12839,73,1007
2025-08-07,12907,73,1019
2025-08-08,12952,73,1032
2025-08-09,13004,73,1044
2025-08-10,13047,73,1063
2025-08-11,13095,75,1076
2025-08-12,13142,76,1096
2025-08-13,13187,76,1112
2025-08-14,13232,76,1129
2025-08-15,13289,76,1141
2025-08-16,13352,76,1153
2025-08-17,13404,76,1165
2025-08-18,13458,76,1177
2025-08-19,13504,78,1189
2025-08-20,13552,80,1201
2025-08-21,13596,80,1213
2025-08-22,13645,80,1225
2025-08-23,13696,80,1237
2025-08-24,13734,80,1249
2025-08-25,13779,80,1261
2025-08-26,13827,80,1273
2025-08-27,13870,80,1285
2025-08-28,13923,80,1297
2025-08-29,13959,80,1309
2025-08-30,14013,80,1321
2025-08-31,14057,80,1333
2025-09-01,14111,80,1345
2025-09-02,14160,80,1357
2025-09-03,14206,80,1369
2025-09-04,14262,80,1381
2025-09-05,14304,80,1393
2025-09-06,14357,80,1400
2025-09-07,14489,80,1417
2025-09-08,14592,80,1429
2025-09-09,14651,80,1441
2025-09-10,14802,80,1453
2025-09-11,14946,80,1469
2025-09-12,15029,80,1481
2025-09-13,15155,80,1494
2025-09-14,15265,80,1507
2025-09-15,15382,80,1519
2025-09-16,15469,80,1531
2025-09-17,15550,80,1543
2025-09-18,15687,80,1555
2025-09-19,15802,80,1567
2025-09-20,15891,80,1580
2025-09-21,15989,80,1592
2025-09-22,16055,80,1604
2025-09-23,16131,80,1616
2025-09-24,16222,80,1632
2025-09-25,16348,80,1646
2025-09-26,16513,80,1661
2025-09-27,16647,80,1676
2025-09-28,16782,80,1688
2025-09-29,16911,80,1714
2025-09-30,17034,80,1726
2025-10-01,17131,80,1738
2025-10-02,17296,80,1750
2025-10-03,17388,80,1762
2025-10-04,17486,80,1774
2025-10-05,17601,80,1786
2025-10-06,17722,80,1798
2025-10-07,17815,80,1810
2025-10-08,17905,80,1822
2025-10-09,18058,80,1834
2025-10-10,18159,80,1846
2025-10-11,18298,80,1858
2025-10-12,18393,80,1870
2025-10-13,18459,80,1882
2025-10-14,18596,80,1894
2025-10-15,18725,80,1906
2025-10-16,18826,80,1921

2025-10-17,18983,80,1937
2025-10-18,19155,80,1951
2025-10-19,19271,80,1964
2025-10-20,19369,85,1980
2025-10-21,19459,85,1996
2025-10-22,19605,85,2009
2025-10-23,19690,85,2022
2025-10-24,19784,85,2039
2025-10-25,19869,103,2052
2025-10-26,20034,111,2065
2025-10-27,20186,111,0
2025-10-28,20285,111,2093
2025-10-29,20415,111,2109
2025-10-30,20548,111,2126
2025-10-31,20709,111,2140
2025-11-01,20794,111,2153
2025-11-02,20887,111,2166
2025-11-03,21060,111,2180
2025-11-04,21161,111,2194
